DHB,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,4116,77695,56,81867,549
Bay of Plenty,2412,46532,36,48980,293
Canterbury,9996,94136,56,104188,1323
Capital and Coast,3683,52062,33,55778,448
Counties Manukau,4235,117973,101,122309,705
Hawke's Bay,1951,30634,12,32597,261
Hutt Valley,1919,28512,25,30456,245
Lakes,1114,19691,22,20827,155
Mid Central,2391,29020,22,31433,320
Nelson Marlborough,1961,21122,10,23093,296
Northland,2599,26774,20,29393,275
South Canterbury,1399,8695,5,10099,162
Southern,7250,52209,18,59477,935
Tairawhiti,533,10195,6,10734,71
Taranaki,1903,20815,5,22723,267
Unknown,41,403,0,444,0
Waikato,4377,72785,87,77249,552
Wairarapa,650,7146,7,7803,81
Waitemata,5176,84251,86,89513,773
West Coast,686,2429,5,3120,93
Whanganui,906,10620,13,11539,123
At the Border,364,4587,2,4953,57
Total,59662,818286,627,878575,7984*
